authors,original_publication_year,title,Genre,Desc,rating,image_url,,,,,,pdf
"George Orwell, Erich Fromm, CelÃ¢l Ãœster",1949,1984,Fiction,"Among the seminal texts of the 20th century, Nineteen Eighty-Four is a rare work that grows more haunting as its futuristic purgatory becomes more real. Published in 1949, the book offers political satirist George Orwell's nightmarish vision of a totalitarian, bureaucratic world and one poor stiff's attempt to find individuality. The brilliance of the novel is Orwell's prescience of modern life—the ubiquity of television, the distortion of the language—and his ability to construct such a thorough version of hell. Required reading for students since it was published, it ranks among the most terrifying novels ever written.",4.14,https://images.gr-assets.com/books/1348990566m/5470.jpg,,,,,,https://drive.google.com/file/d/1y5Xigk3z2QcFGCxbkAWINtrd53MNEP_a/view?usp=sharing
George Orwell,1945,Animal Farm,Classics,"A farm is taken over by its overworked, mistreated animals. With flaming idealism and stirring slogans, they set out to create a paradise of progress, justice, and equality. Thus the stage is set for one of the most telling satiric fables ever penned –a razor-edged fairy tale for grown-ups that records the evolution from revolution against tyranny to a totalitarianism just as terrible.",3.87,https://images.gr-assets.com/books/1424037542m/7613.jpg,,,,,,https://drive.google.com/file/d/1UQuRtl49u_UneAOn728v49rfzDcWNhyE/view?usp=sharing
"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,The Diary of a Young Girl,Classics,"In 1942, with the Nazis occupying Holland, a thirteen-year-old Jewish girl and her family fled their home in Amsterdam and went into hiding. For the next two years, until their whereabouts were betrayed to the Gestapo, the Franks and another family lived cloistered in the “Secret Annexe” of an old office building. Cut off from the outside world, they faced hunger, boredom, the constant cruelties of living in confined quarters, and the ever-present threat of discovery and death. In her diary Anne Frank recorded vivid impressions of her experiences during this period. By turns thoughtful, moving, and surprisingly humorous, her account offers a fascinating commentary on human courage and frailty and a compelling self-portrait of a sensitive and spirited young woman whose promise was tragically cut short.",4.1,https://images.gr-assets.com/books/1358276407m/48855.jpg,,,,,,https://drive.google.com/file/d/1LJiLE3MBbr4eQ0jQCCcyrOavigL8rMxY/view?usp=sharing
"Stieg Larsson, Reg Keeland",2005,"The Girl with the Dragon Tattoo (Millennium, #1)",Mystery,"Harriet Vanger, a scion of one of Sweden’s wealthiest families disappeared over forty years ago. All these years later, her aged uncle continues to seek the truth. He hires Mikael Blomkvist, a crusading journalist recently trapped by a libel conviction, to investigate. He is aided by the pierced and tattooed punk prodigy Lisbeth Salander. Together they tap into a vein of unfathomable iniquity and astonishing corruption.",4.11,https://images.gr-assets.com/books/1327868566m/2429135.jpg,,,,,,https://drive.google.com/file/d/1UdmtX-eDfoMSJatK6le4WlZieoBQBPD5/view?usp=sharing
Suzanne Collins,2009,"Catching Fire (The Hunger Games, #2)",Fiction,"Against all odds, Katniss Everdeen has won the Hunger Games. She and fellow District 12 tribute Peeta Mellark are miraculously still alive. Katniss should be relieved, happy even. After all, she has returned to her family and her longtime friend, Gale. Yet nothing is the way Katniss wishes it to be. Gale holds her at an icy distance. Peeta has turned his back on her completely. And there are whispers of a rebellion against the Capitol—a rebellion that Katniss and Peeta may have helped create. Much to her shock, Katniss has fueled an unrest that she's afraid she cannot stop. And what scares her even more is that she's not entirely convinced she should try. As time draws near for Katniss and Peeta to visit the districts on the Capitol's cruel Victory Tour, the stakes are higher than ever. If they can't prove, without a shadow of a doubt, that they are lost in their love for each other, the consequences will be horrifying.",4.3,https://images.gr-assets.com/books/1358273780m/6148028.jpg,,,,,,https://drive.google.com/file/d/0B6HYlbz4HnOjdWdjdktVaDFUZXc/view
"J.K. Rowling, Mary GrandPrÃ©, Rufus Beck",1999,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",Fiction,"Ever since Harry Potter had come home for the summer, the Dursleys had been so mean and hideous that all Harry wanted was to get back to the Hogwarts School for Witchcraft and Wizardry. But just as he’s packing his bags, Harry receives a warning from a strange impish creature who says that if Harry returns to Hogwarts, disaster will strike. And strike it does. For in Harry’s second year at Hogwarts, fresh torments and horrors arise, including an outrageously stuck-up new professor and a spirit who haunts the girls’ bathroom. But then the real trouble begins – someone is turning Hogwarts students to stone. Could it be Draco Malfoy, a more poisonous rival than ever? Could it possible be Hagrid, whose mysterious past is finally told? Or could it be the one everyone at Hogwarts most suspects… Harry Potter himself!",4.53,https://images.gr-assets.com/books/1499277281m/5.jpg,,,,,,https://drive.google.com/file/d/17qiGAB6-vvhQdxF87aHDQV20-kHFxkJw/view?usp=sharing
J.R.R. Tolkien,1954,"The Fellowship of the Ring (The Lord of the Rings, #1)",Classics,"One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkeness bind them. In ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, The Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth, it remained lost to him. After many ages it fell into the hands of Bilbo Baggins, as told in The Hobbit.",4.34,https://images.gr-assets.com/books/1298411339m/34.jpg,,,,,,https://drive.google.com/file/d/1XRzaijTJ2HB9offAkIj2x3KEb8bgJ05G/view?usp=sharing
Suzanne Collins,2010,"Mockingjay (The Hunger Games, #3)",Fiction,"Katniss Everdeen, girl on fire, has survived, even though her home has been destroyed. Gale has escaped. Katniss's family is safe. Peeta has been captured by the Capitol. District 13 really does exist. There are rebels. There are new leaders. A revolution is unfolding. It is by design that Katniss was rescued from the arena in the cruel and haunting Quarter Quell, and it is by design that she has long been part of the revolution without knowing it. District 13 has come out of the shadows and is plotting to overthrow the Capitol. Everyone, it seems, has had a hand in the carefully laid plans—except Katniss.",4.03,https://images.gr-assets.com/books/1358275419m/7260188.jpg,,,,,,https://drive.google.com/file/d/16qp4EpcPair2HcO6YhkpjH-CAtm7Rij5/view?usp=sharing
"J.K. Rowling, Mary GrandPrÃ©",2003,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",Fiction,"There is a door at the end of a silent corridor. And it’s haunting Harry Pottter’s dreams. Why else would he be waking in the middle of the night, screaming in terror? Harry has a lot on his mind for this, his fifth year at Hogwarts: a Defense Against the Dark Arts teacher with a personality like poisoned honey; a big surprise on the Gryffindor Quidditch team; and the looming terror of the Ordinary Wizarding Level exams. But all these things pale next to the growing threat of He-Who-Must-Not-Be-Named - a threat that neither the magical government nor the authorities at Hogwarts can stop.",4.46,https://images.gr-assets.com/books/1387141547m/2.jpg,,,,,,https://drive.google.com/file/d/1dxbKUw8vfm2Qk4XHAPgijFI3J0sY_Oih/view?usp=sharing
Alice Sebold,2002,The Lovely Bones,Mystery,"So begins the story of Susie Salmon, who is adjusting to her new home in heaven, a place that is not at all what she expected, even as she is watching life on earth continue without her -- her friends trading rumors about her disappearance, her killer trying to cover his tracks, her grief-stricken family unraveling. Out of unspeakable tragedy and loss, The Lovely Bones succeeds, miraculously, in building a tale filled with hope, humor, suspense, even joy.",3.77,https://images.gr-assets.com/books/1457810586m/12232938.jpg,,,,,,https://drive.google.com/file/d/1LKQSA1McUMiNGyb7myGRnToVRmDZOkyV/view?usp=sharing
"J.K. Rowling, Mary GrandPrÃ©",1998,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",Fiction,"Ever since Harry Potter had come home for the summer, the Dursleys had been so mean and hideous that all Harry wanted was to get back to the Hogwarts School for Witchcraft and Wizardry. But just as he’s packing his bags, Harry receives a warning from a strange impish creature who says that if Harry returns to Hogwarts, disaster will strike. And strike it does. For in Harry’s second year at Hogwarts, fresh torments and horrors arise, including an outrageously stuck-up new professor and a spirit who haunts the girls’ bathroom. But then the real trouble begins – someone is turning Hogwarts students to stone. Could it be Draco Malfoy, a more poisonous rival than ever? Could it possible be Hagrid, whose mysterious past is finally told? Or could it be the one everyone at Hogwarts most suspects… Harry Potter himself!",4.37,https://images.gr-assets.com/books/1474169725m/15881.jpg,,,,,,https://drive.google.com/file/d/1wZ8RcXfancplpTimadY8b9w3Q61c0hOm/view?usp=sharing
"J.K. Rowling, Mary GrandPrÃ©",2000,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",Fiction,"Harry Potter is midway through his training as a wizard and his coming of age. Harry wants to get away from the pernicious Dursleys and go to the International Quidditch Cup with Hermione, Ron, and the Weasleys. He wants to dream about Cho Chang, his crush (and maybe do more than dream). He wants to find out about the mysterious event that's supposed to take place at Hogwarts this year, an event involving two other rival schools of magic, and a competition that hasn't happened for hundreds of years. He wants to be a normal, fourteen-year-old wizard. But unfortunately for Harry Potter, he's not normal - even by wizarding standards.",4.53,https://images.gr-assets.com/books/1361482611m/6.jpg,,,,,,https://drive.google.com/file/d/1joAGP9pu1FXB_MkDwssb9-rJP0_ztB2J/view?usp=sharing
"J.K. Rowling, Mary GrandPrÃ©",2007,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",Fiction,"Harry Potter is leaving Privet Drive for the last time. But as he climbs into the sidecar of Hagrid’s motorbike and they take to the skies, he knows Lord Voldemort and the Death Eaters will not be far behind. The protective charm that has kept him safe until now is broken. But the Dark Lord is breathing fear into everything he loves. And he knows he can’t keep hiding. To stop Voldemort, Harry knows he must find the remaining Horcruxes and destroy them.",4.61,https://images.gr-assets.com/books/1474171184m/136251.jpg,,,,,,https://drive.google.com/file/d/1nXL1BMetNpaabTXlOnZMgIGcXFvqABHw/view?usp=sharing
Dan Brown,2003,"The Da Vinci Code (Robert Langdon, #2)",Mystery,"While in Paris, Harvard symbologist Robert Langdon is awakened by a phone call in the dead of the night. The elderly curator of the Louvre has been murdered inside the museum, his body covered in baffling symbols. As Langdon and gifted French cryptologist Sophie Neveu sort through the bizarre riddles, they are stunned to discover a trail of clues hidden in the works of Leonardo da Vinci—clues visible for all to see and yet ingeniously disguised by the painter.",3.79,https://images.gr-assets.com/books/1303252999m/968.jpg,,,,,,https://drive.google.com/file/d/1gZA73IjGkSR1T_KgM6yYrnH0KpedPZqx/view?usp=sharing
"J.K. Rowling, Mary GrandPrÃ©",2005,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",Fiction,"The war against Voldemort is not going well; even Muggle governments are noticing. Ron scans the obituary pages of the Daily Prophet, looking for familiar names. Dumbledore is absent from Hogwarts for long stretches of time, and the Order of the Phoenix has already suffered losses. As in all wars, life goes on. The Weasley twins expand their business. Sixth-year students learn to Apparate - and lose a few eyebrows in the process. Teenagers flirt and fight and fall in love. Classes are never straightforward, through Harry receives some extraordinary help from the mysterious Half-Blood Prince.",4.54,https://images.gr-assets.com/books/1361039191m/1.jpg,,,,,,https://drive.google.com/file/d/1n5DffLt3tWEP8ENyTBUNCL3Ji-z62xgF/view?usp=sharing
William Golding,1954,Lord of the Flies,Classics,"At the dawn of the next world war, a plane crashes on an uncharted island, stranding a group of schoolboys. At first, with no adult supervision, their freedom is something to celebrate; this far from civilization the boys can do anything they want. Anything. They attempt to forge their own society, failing, however, in the face of terror, sin and evil. And as order collapses, as strange howls echo in the night, as terror begins its reign, the hope of adventure seems as far from reality as the hope of being rescued. Labeled a parable, an allegory, a myth, a morality tale, a parody, a political treatise, even a vision of the apocalypse, Lord of the Flies is perhaps our most memorable novel about “the end of innocence, the darkness of man’s heart.”",3.64,https://images.gr-assets.com/books/1327869409m/7624.jpg,,,,,,https://drive.google.com/file/d/1Q0N6ms-7Kcfyg76x3k2l3J7vEL4KSalH/view?usp=sharing
"William Shakespeare, Robert           Jackson",1595,Romeo and Juliet,Classics,"In Romeo and Juliet, Shakespeare creates a violent world, in which two young people fall in love. It is not simply that their families disapprove; the Montagues and the Capulets are engaged in a blood feud. In this death-filled setting, the movement from love at first sight to the lovers’ final union in death seems almost inevitable. And yet, this play set in an extraordinary world has become the quintessential story of young love. In part because of its exquisite language, it is easy to respond as if it were about all young lovers.",3.73,https://images.gr-assets.com/books/1327872146m/18135.jpg,,,,,,https://drive.google.com/file/d/1QEM5XYGHWyvAJC5Vp-g4fulqNyryFu0J/view?usp=sharing
Gillian Flynn,2012,Gone Girl,Mystery,"On a warm summer morning in North Carthage, Missouri, it is Nick and Amy Dunne’s fifth wedding anniversary. Presents are being wrapped and reservations are being made when Nick’s clever and beautiful wife disappears from their rented McMansion on the Mississippi River. Husband-of-the-Year Nick isn’t doing himself any favors with cringe-worthy daydreams about the slope and shape of his wife’s head, but passages from Amy's diary reveal the alpha-girl perfectionist could have put anyone dangerously on edge. Under mounting pressure from the police and the media—as well as Amy’s fiercely doting parents—the town golden boy parades an endless series of lies, deceits, and inappropriate behavior. Nick is oddly evasive, and he’s definitely bitter—but is he really a killer?",4.03,https://images.gr-assets.com/books/1339602131m/8442457.jpg,,,,,,
Kathryn Stockett,2009,The Help,Fiction,"Twenty-two-year-old Skeeter has just returned home after graduating from Ole Miss. She may have a degree, but it is 1962, Mississippi, and her mother will not be happy till Skeeter has a ring on her finger. Skeeter would normally find solace with her beloved maid Constantine, the woman who raised her, but Constantine has disappeared and no one will tell Skeeter where she has gone.",4.45,https://images.gr-assets.com/books/1346100365m/4667024.jpg,,,,,,https://drive.google.com/file/d/17XNCgvM2xJK4OB5XdPHBFflTpGZazUK0/view?usp=sharing
John Steinbeck,1937,Of Mice and Men,Classics,"An intimate portrait of two men who cherish the slim bond between them and the dream they share in a world marred by petty tyranny, misunderstanding, jealousy, and callousness. Clinging to each other in their Loneliness and alienation, George and his simple-minded friend Lenny dream, as drifters will, of a place to call their own—a couple of acres and a few pigs, chickens, and rabbits back in Hill Country where land is cheap. But after they come to work on a ranch in the fer- tile Salinas Valley of California, their hopes, like ""the best laid schemes o' mice an' men,"" begin to go awry.",3.84,https://images.gr-assets.com/books/1437235233m/890.jpg,,,,,,https://drive.google.com/file/d/1y2vdx3T0bNVY0KgfDaorQpMfZh85aBRF/view?usp=sharing
Arthur Golden,1997,Memoirs of a Geisha,Fiction,"A literary sensation and runaway bestseller, this brilliant debut novel presents with seamless authenticity and exquisite lyricism the true confessions of one of Japan's most celebrated geisha. In Memoirs of a Geisha, we enter a world where appearances are paramount; where a girl's virginity is auctioned to the highest bidder; where women are trained to beguile the most powerful men; and where love is scorned as illusion. It is a unique and triumphant work of fiction - at once romantic, erotic, suspenseful - and completely unforgettable.",4.08,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,,,,,https://drive.google.com/file/d/1kMUB31GUqcICsX_NiitBwNQiJwps7Vm3/view?usp=sharing
E.L. James,2011,"The Lost Symbol (Robert Langdon, #3)",Mystery,"In this stunning follow-up to the global phenomenon The Da Vinci Code, Dan Brown demonstrates once again why he is the world's most popular thriller writer. The Lost Symbol is a masterstroke of storytelling - a deadly race through a real-world labyrinth of codes, secrets, and unseen truths...all under the watchful eye of Brown's most terrifying villain to date. Set within the hidden chambers, tunnels, and temples of Washington, DC., The Lost Symbol accelerates through a startling landscape toward an unthinkable finale. As the story opens, Harvard symbologist Robert Langdon is summoned unexpectedly to deliver an evening lecture in the U.S. Capitol Building. Within minutes of his arrival, however, the night takes a bizarre turn. A disturbing object - artfully encoded with five symbols - is discovered in the Capitol Building. Langdon recognizes the object as an ancient invitation...one meant to usher its recipient into a long-lost world of esoteric wisdom.",3.67,https://images.gr-assets.com/books/1358274396m/6411961.jpg,,,,,,https://drive.google.com/file/d/1qm4sH3eq43hx9-W_5LNw9upKP1oo5S9V/view?usp=sharing
"Paulo Coelho, Alan R. Clarke",1988,The Alchemist,Classics,"Paulo Coelho's enchanting novel has inspired a devoted following around the world. This story, dazzling in its powerful simplicity and soul-stirring wisdom, is about an Andalusian shepherd boy named Santiago who travels from his homeland in Spain to the Egyptian desert in search of a treasure buried near the Pyramids. Along the way he meets a Gypsy woman, a man who calls himself king, and an alchemist, all of whom point Santiago in the direction of his quest. No one knows what the treasure is, or if Santiago will be able to surmount the obstacles in his path. But what starts out as a journey to find worldly goods turns into a discovery of the treasure found within. Lush, evocative, and deeply humane, the story of Santiago is an eternal testament to the transforming power of our dreams and the importance of listening to our hearts.",3.82,https://images.gr-assets.com/books/1483412266m/865.jpg,,,,,,https://drive.google.com/file/d/1zCour-vZJf92Ec1mRUZjmJO6APNgRMr9/view?usp=sharing
Lois Lowry,1993,"The Giver (The Giver, #1)",Classics,"The Giver, the 1994 Newbery Medal winner, has become one of the most influential novels of our time. The haunting story centers on twelve-year-old Jonas, who lives in a seemingly ideal, if colorless, world of conformity and contentment. Not until he is given his life assignment as the Receiver of Memory does he begin to understand the dark, complex secrets behind his fragile community. This movie tie-in edition features cover art from the movie and exclusive Q&A with members of the cast, including Taylor Swift, Brenton Thwaites and Cameron Monaghan. ",4.12,https://images.gr-assets.com/books/1342493368m/3636.jpg,,,,,,https://drive.google.com/file/d/1y2Twy76bFn3ZIUFWNIaNLc7yTd-gI7rP/view?usp=sharing
C.S. Lewis,1950,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",Classics,"Narnia… the land beyond the wardrobe door, a secret place frozen in eternal winter, a magical country waiting to be set free. Lucy is the first to find the secret of the wardrobe in the professor's mysterious old house. At first her brothers and sister don't believe her when she tells of her visit to the land of Narnia. But soon Edmund, then Peter and Susan step through the wardrobe themselves. In Narnia they find a country buried under the evil enchantment of the White Witch. When they meet the Lion Aslan, they realize they've been called to a great adventure and bravely join the battle to free Narnia from the Witch's sinister spell.",4.19,https://images.gr-assets.com/books/1353029077m/100915.jpg,,,,,,https://drive.google.com/file/d/1INQXyYBDwL4MYYAZR-ldNvhhlyHneZ6e/view?usp=sharing
Audrey Niffenegger,2003,The Time Traveler's Wife,Fiction,"A funny, often poignant tale of boy meets girl with a twist: what if one of them couldn't stop slipping in and out of time? Highly original and imaginative, this debut novel raises questions about life, love, and the effects of time on relationships.",3.95,https://images.gr-assets.com/books/1437728815m/14050.jpg,,,,,,https://drive.google.com/file/d/1XPFJPvztJ5TlFrn3eoxnJ4_bGX_w6ap0/view?usp=sharing
George R.R. Martin,1996,"A Game of Thrones (A Song of Ice and Fire, #1)",Fiction,"Here is the first volume in George R. R. Martin’s magnificent cycle of novels that includes A Clash of Kings and A Storm of Swords. As a whole, this series comprises a genuine masterpiece of modern fantasy, bringing together the best the genre has to offer. Magic, mystery, intrigue, romance, and adventure fill these pages and transport us to a world unlike any we have ever experienced. Already hailed as a classic, George R. R. Martin’s stunning series is destined to stand as one of the great achievements of imaginative fiction.",4.45,https://images.gr-assets.com/books/1436732693m/13496.jpg,,,,,,https://drive.google.com/file/d/11wmdp5-YqlGUjBuq2C5wPtA7aZ_G8abH/view?usp=sharing
Elizabeth Gilbert,2006,"Eat, Pray, Love",Autobiography,"A celebrated writer's irresistible, candid, and eloquent account of her pursuit of worldly pleasure, spiritual devotion, and what she really wanted out of life. Around the time Elizabeth Gilbert turned thirty, she went through an early-onslaught midlife crisis. She had everything an educated, ambitious American woman was supposed to want—a husband, a house, a successful career. But instead of feeling happy and fulfilled, she was consumed with panic, grief, and confusion. She went through a divorce, a crushing depression, another failed love, and the eradication of everything she ever thought she was supposed to be.",3.51,https://images.gr-assets.com/books/1503066414m/19501.jpg,,,,,,https://drive.google.com/file/d/1hwjtWVGvruSnX-Y0Q4UmJJMUug0LfC_Z/view?usp=sharing
