authors,original_publication_year,isbn,title,Genre,rating,desc,image_url,drive_links
Patrick Hall,2019,1.49E+09,An Introduction to Machine learning interpretability,technical,4.2,"Innovation and competition are driving analysts and data scientists toward increasingly complex predictive modeling and machine learning algorithms. This complexity makes these models accurate but also makes their predictions difficult to understand. When accuracy outpaces interpretability, human trust suffers, affecting business adoption, regulatory oversight, and model documentation.",https://learning.oreilly.com/library/cover/9781492033158/250w/,https://drive.google.com/file/d/1BZVshFGheIj2Ga2I-Zjl-OiltfGqk-9G/view?usp=sharing
Tom white,2009,9.35E+09,Hadoop The Definitive Guide,technical,4,"Hadoop: The Definitive Guide helps you harness the power of your data. Ideal for processing large datasets, the Apache Hadoop framework is an open source implementation of the MapReduce algorithm on which Google built its empire. This comprehensive resource demonstrates how to use Hadoop to build reliable, scalable, distributed systems: programmers will find details for analyzing large datasets, and administrators will learn how to set up and run Hadoop clusters.",https://images-na.ssl-images-amazon.com/images/I/912Ok+QXRGL.jpg,https://drive.google.com/file/d/1ifYQVD3x9DyA_juLY32HyCzvxWfuQ__g/view?usp=sharing
Gary Bradski,2008,1.45E+09,Learning OpenCv,technical,4.1,"This library is useful for practitioners, and is an excellent tool for those entering the field: it is a set of computer vision algorithms that work as advertised.""-William T. Freeman, Computer Science and Artificial Intelligence Laboratory, Massachusetts Institute of Technology",https://m.media-amazon.com/images/I/51EC+zLc4KL.jpg,https://drive.google.com/file/d/17g9Mx0ngqVJw5Jbimz7Z8ZnQrmyGs9cs/view?usp=sharing
Davy Cielen,2016,1.51E+09,Introduction to Data Science,technical,4.5,Data Science has become one of the hottest fields in technology. Firms worldwide are scrambling to find developers with data science skills to work on projects ranging from social media marketing to machine learning but the prerequisite knowledge and experience for this career can seem bewildering. This book is designed to help anyone who wants to learn more about data science get started.,https://d28hgpri8am2if.cloudfront.net/book_images/onix/cvr9781633430037/introducing-data-science-9781633430037_hr.jpg,https://drive.google.com/file/d/1ClU2lzGzfAhwkLWdkIz_qrOxb0YIYMvE/view?usp=sharing
Aurélien Géron,2017,1.49E+09,Hands-On Machine Learning with Scikit-Learn and TensorFlow,technical,4.7,"Through a series of recent breakthroughs, deep learning has boosted the entire field of machine learning. Now, even programmers who know close to nothing about this technology can use simple, efficient tools to implement programs capable of learning from data. This practical book shows you how. By using concrete examples, minimal theory, and two production-ready Python frameworks-scikit-learn and TensorFlow-author Aurelien Geron helps you gain an intuitive understanding of the concepts and tools for building intelligent systems. You'll learn a range of techniques, starting with simple linear regression and progressing to deep neural networks. With exercises in each chapter to help you apply what you've learned, all you need is programming experience to get started. Explore the machine learning landscape, particularly neural nets Use scikit-learn to track an example machine-learning project end-to-end Explore several training models, including support vector machines, decision trees, random forests, and ensemble methods Use the TensorFlow library to build and train neural nets Dive into neural net architectures, including convolutional nets, recurrent nets, and deep reinforcement learning Learn techniques for training and scaling deep neural nets Apply practical code examples without acquiring excessive machine learning theory or algorithm details","https://images-na.ssl-images-amazon.com/images/I/51+kYprYK1L._SX379_BO1,204,203,200_.jpg",https://drive.google.com/file/d/1p5MRC9zCiS4ZUBVUiKQTUV0ABhXtFy_u/view?usp=sharing
Christopher M. Bishop,2006,3.87E+08,Pattern Recognition and Machine Learning,technical,4.5,"This Is The First Textbook On Pattern Recognition To Present The Bayesian Viewpoint. The Book Presents Approximate Inference Algorithms That Permit Fast Approximate Answers In Situations Where Exact Answers Are Not Feasible. It Uses Graphical Models To Describe Probability Distributions When No Other Books Apply Graphical Models To Machine Learning. No Previous Knowledge Of Pattern Recognition Or Machine Learning Concepts Is Assumed. Familiarity With Multivariate Calculus And Basic Linear Algebra Is Required, And Some Experience In The Use Of Probabilities Would Be Helpful Though Not Essential As The Book Includes A Self-contained Introduction To Basic Probability Theory.",https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQTNaO1S8OepMrlVwqXRaZZrRA6r20i5YVs7W8DrmqUUFI4hMGu,https://drive.google.com/file/d/1JhMZT6pyVWvdUlgqpWPFs5wbq3XmR-wZ/view?usp=sharing
Dieter Gollmann,2011,1.35E+08,Computer Security,technical,3.8,"The third edition is completely revised to include the new advances in software and technology over the last few years.New material on web applications security (cross-site scripting, JavaScript hacking etc) and more information on SQL injection. It include new advances in software and technology over the last few years. Provides sections on Windows NT, CORBA and Java which are not examined in comparable titles. No active previous experience of security issues is necessary making this accessible to Software Developers and Managers whose responsibilities span any technical aspects of IT security. Written for self-study and course use, this book will suit a variety of introductory and more advanced security programmes for students of computer science, engineering and related disciplines.","https://images-na.ssl-images-amazon.com/images/I/51ESVKtQhnL._SX383_BO1,204,203,200_.jpg",https://drive.google.com/file/d/1Fpq6SBhb-338kOf_g7dM4eZKo-Pj5q4m/view?usp=sharing
Thomas H. Cormen,2001,2.62E+08,Introduction to Algorithms,technical,4,"Introduction to Algorithms, the 'bible' of the field, is a comprehensive textbook covering the full spectrum of modern algorithms","https://images-na.ssl-images-amazon.com/images/I/513P8XoCAEL._SX376_BO1,204,203,200_.jpg",https://drive.google.com/file/d/1ysg_MVt6VzP6hKOgv7rQb01YyqOesCSf/view?usp=sharing
Reema Thareja,2014,1.32E+08,Data Structures Using C,technical,4.2,"This second edition of Data Structures Using C has been developed to provide a comprehensive and consistent coverage of both the abstract concepts of data structures as well as the implementation of these concepts using C language. It begins with a thorough overview of the concepts of C programming followed by introduction of different data structures and methods to analyse the complexity of different algorithms. It then connects these concepts and applies them to the study of variousdata structures such as arrays, strings, linked lists, stacks, queues, trees, heaps, and graphs. The book utilizes a systematic approach wherein the design of each of the data structures is followed by algorithms of different operations that can be performed on them, and the analysis of these algorithms in terms of their running times. Each chapter includes a variety of end-chapter exercises in the form of MCQs with answers, review questions, and programming exercises to help readers test their knowledge.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSMamCfC2uEZgFHsbOAhznCoUzjcciLkLAwPuTuU0_-cGZq1y4T,https://drive.google.com/file/d/10gmKZs8QDfYxfYDVajA24FUVNhAg6a2x/view?usp=sharing
Alex MacCaw,2011,1.45E+09,JavaScript Web Applications,technical,4.6,"Building rich JavaScript applications that bring a desktop experience to the Web requires moving state from the server to the client side—not a simple task. This hands-on book takes proficient JavaScript developers through all the steps necessary to create state-of-the-art applications, including structure, templating, frameworks, communicating with the server, and many other issues.",https://learning.oreilly.com/library/cover/9781449308216/250w/,https://drive.google.com/file/d/1zR85Igxhni9h9qukx7d4bT_KSep8Vtf7/view?usp=sharing
Herbert Schildt,2014,1.26E+09,The Complete Reference Java,technical,4.5,"A step-by-step guide by the famous computing author Herbert Schildt, Java: The Complete Reference, Seventh Edition is an introductory book to Java. Whether a person is a rookie or a pro programmer, this book is for everyone. Introducing the readers to Java from the scratch to its importance and contribution to the web, the book has it all.","https://images-na.ssl-images-amazon.com/images/I/51QkOLwKuZL._SX399_BO1,204,203,200_.jpg",https://drive.google.com/file/d/1ClU2lzGzfAhwkLWdkIz_qrOxb0YIYMvE/view?usp=sharing
Barry Burd,2015,1.12E+09,Android Application Development All-In-One for Dummies,technical,4.3,"Android Application Development All-in-One For Dummies covers the information you absolutely need to get started developing apps for Android. Inside, you'll quickly get up to speed on Android programming concepts and put your new knowledge to use to manage data, program cool phone features, refine your applications, navigate confidently around the Android native development kit, and add important finishing touches to your apps. Covering the latest features and enhancements to the Android Software Developer's Kit, this friendly, hands-on guide walks you through Android programming basics, shares techniques for developing great Android.","https://images-eu.ssl-images-amazon.com/images/I/51kQCv2P5oL._SX198_BO1,204,203,200_QL40_FMwebp_.jpg",https://drive.google.com/file/d/13AaM4o3uclPmAULnmlv4eAdRVMaxvybs/view?usp=sharing
Bonnie Eisenman,2015,1.48E+09,React Native for Mobile Development,technical,3.9,"Get a practical introduction to React Native, the JavaScript framework for writing and deploying fully featured mobile apps that render natively. The second edition of this hands-on guide shows you how to build applications that target iOS, Android, and other mobile platforms instead of browsers―apps that can access platform features such as the camera, user location, and local storage. Through code examples and step-by-step instructions, web developers and frontend engineers familiar with React will learn how to build and style interfaces, use mobile components, and debug and deploy apps. You’ll learn how to extend React Native using third-party libraries or your own Java and Objective-C libraries. Understand how React Native works under the hood with native UI components Examine how React Native’s mobile-based components compare to basic HTML elements Create and style your own React Native components and applications Take advantage of platform-specific APIs, as well as modules from the framework’s community Incorporate platform-specific components into cross-platform apps Learn common pitfalls of React Native development, and tools for dealing with them Combine a large application’s many screens into a cohesive UX Handle state management in a large app with the Redux library","https://images-na.ssl-images-amazon.com/images/I/518ctEpEw1L._SX379_BO1,204,203,200_.jpg",https://drive.google.com/file/d/1WK-1cl_2dfvVbaYDgeFR-aaZ6GnMCVmZ/view?usp=sharing
Scott Chacon,2020,1.48E+09,Pro Git,technical,4.5,"Git is the version control system developed by Linus Torvalds for Linux kernel development. It took the open source world by storm since its inception in 2005, and is used by small development shops and giants like Google, Red Hat, and IBM, and of course many open source projects.",https://git-scm.com/images/progit2.png,https://drive.google.com/file/d/1OCVEGGI6yUblAHCzVjgKafH6abUk23Wy/view?usp=sharing
Jon Duckett,2014,1.12E+09,JavaScript and Jquery interactive front-end development,technical,4.3,"This full-color book adopts a visual approach to teaching JavaScript & jQuery, showing you how to make web pages more interactive and interfaces more intuitive through the use of inspiring code examples, infographics, and photography. The content assumes no previous programming experience, other than knowing how to create a basic web page in HTML & CSS. You'll learn how to achieve techniques seen on many popular websites","https://images-na.ssl-images-amazon.com/images/I/31SRWF+LkKL._SX258_BO1,204,203,200_.jpg",https://drive.google.com/file/d/13nWdfeAztXq_DeqkEXNbwrJ9rRmZv_WT/view?usp=sharing
David Flanagan,2011,5.97E+08,Javascript The definitive guide,technical,3.3,"The book describes the version of JavaScript shipped with Navigator 2.0, 2.0.1, and 2.0.2, and also the much-changed version of JavaScript shipped with Navigator 3.0, 3.0.1, and 3.0.2. It also covers LiveConnect, used for communication between JavaScript and Java applets, and commonly encountered bugs on JavaScript objects.","https://images-na.ssl-images-amazon.com/images/I/51ULb8KBHaL._SX380_BO1,204,203,200_.jpg",https://drive.google.com/file/d/1I5z2zs1hxASm2aD1b9aW8uusKxAipl0s/view?usp=sharing
Robin Nixon,2014,1.49E+09,"Learning PHP, MySQL, JavaScript,CSS & HTML5",technical,4.5,"Build interactive, data-driven websites with the potent combination of open-source technologies and web standards, even if you only have basic HTML knowledge. With this popular hands-on guide, you’ll tackle dynamic web programming with the help of today’s core technologies: PHP, MySQL, JavaScript, CSS, and HTML5.","https://images-na.ssl-images-amazon.com/images/I/51AkW1znNmL._SX379_BO1,204,203,200_.jpg",https://drive.google.com/file/d/17g9ZaMRPwf5OZ1tt-oENM9lkHWeE7T-w/view?usp=sharing
Thomas A. Powell,2008,70248494,Ajax The Complete Reference,technical,4,"Evolve from the click-and-wait programming pattern to the latest Web 2.0 paradigm using this comprehensive guide to Ajax. Written by Web development expert Thomas Powell, the book lays out every feature of Ajax alongside detailed explanations and real-world code examples.","https://images-na.ssl-images-amazon.com/images/I/41FC0vUkl3L._SX403_BO1,204,203,200_.jpg",https://drive.google.com/file/d/1hIcaeyNVjZX43W3Yb1HRwe2-PrZb9SQv/view?usp=sharing
